UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
110583,"R",4119,"R",0,"R",4119,"R",1060,"R",26,"R",3028,"R",74,"R",0,"R",4119,"R",115,"R",30,"R",3143,"R",76,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110592,"R",2895,"R",0,"R",2895,"R",235,"R",8,"R",1496,"R",52,"R",0,"R",2895,"R",198,"R",70,"R",1694,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110608,"R",5760,"R",0,"R",5760,"R",847,"R",15,"R",3182,"R",55,"R",0,"R",5760,"R",313,"R",123,"R",3495,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110617,"R",3202,"R",0,"R",3202,"R",391,"R",12,"R",1756,"R",55,"R",0,"R",3202,"R",230,"R",56,"R",1986,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110635,"R",4677,"R",0,"R",4677,"R",3554,"R",76,"R",4331,"R",93,"R",0,"R",4677,"R",82,"R",14,"R",4413,"R",94,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110644,"R",5072,"R",2,"R",5070,"R",3201,"R",63,"R",4394,"R",87,"R",0,"R",5070,"R",87,"R",13,"R",4481,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110653,"R",5449,"R",0,"R",5449,"R",3774,"R",69,"R",4599,"R",84,"R",2,"R",5447,"R",58,"R",11,"R",4657,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110662,"R",5684,"R",0,"R",5684,"R",4523,"R",80,"R",5201,"R",92,"R",0,"R",5684,"R",52,"R",10,"R",5253,"R",92,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110671,"R",4185,"R",1,"R",4184,"R",2343,"R",56,"R",3179,"R",76,"R",0,"R",4184,"R",60,"R",14,"R",3239,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110680,"R",5217,"R",0,"R",5217,"R",3398,"R",65,"R",4552,"R",87,"R",0,"R",5217,"R",97,"R",18,"R",4649,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
