UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
461786,"R",19,"R",0,"R",19,"R",7,"R",16,"R",0,"R",0,"R",3,"R",12,"Z",0,"R",12,"R",12,"R",4,"Z",0,"R",4,"R",4,"R",3,"Z",0,"R",3,"R",0
461810,"R",70,"R",0,"R",70,"R",69,"R",69,"R",0,"R",1,"R",0,"R",46,"Z",0,"R",46,"R",46,"R",0,"Z",0,"R",0,"R",0,"R",24,"Z",0,"R",24,"R",23
461829,"R",164,"R",0,"R",164,"R",87,"R",116,"R",0,"R",5,"R",43,"R",79,"Z",0,"R",79,"R",54,"R",68,"Z",0,"R",68,"R",62,"R",17,"Z",0,"R",17,"R",0
461838,"R",101,"R",0,"R",101,"R",4,"R",88,"R",0,"R",0,"R",13,"R",47,"Z",0,"R",47,"R",38,"R",11,"Z",0,"R",11,"R",10,"R",43,"Z",0,"R",43,"R",40
461856,"R",179,"R",0,"R",179,"R",108,"R",125,"R",0,"R",0,"R",54,"R",148,"Z",0,"R",148,"R",105,"R",31,"Z",0,"R",31,"R",20,"R",0,"Z",0,"R",0,"R",0
461874,"R",32,"Z",0,"R",32,"R",21,"R",21,"Z",0,"Z",0,"R",11,"R",26,"Z",0,"R",26,"R",17,"R",4,"Z",0,"R",4,"R",4,"R",2,"Z",0,"R",2,"R",0
461892,"R",38,"R",1,"R",37,"R",18,"R",24,"R",0,"R",8,"R",5,"R",24,"R",1,"R",23,"R",12,"R",0,"R",0,"R",0,"R",0,"R",14,"R",0,"R",14,"R",12
461908,"R",33,"R",0,"R",33,"R",1,"R",19,"Z",0,"Z",0,"R",14,"R",21,"Z",0,"R",21,"R",11,"R",3,"Z",0,"R",3,"R",2,"R",9,"Z",0,"R",9,"R",6
461917,"R",43,"R",0,"R",43,"R",1,"R",37,"Z",0,"Z",0,"R",6,"R",17,"Z",0,"R",17,"R",15,"R",4,"Z",0,"R",4,"R",4,"R",22,"Z",0,"R",22,"R",18
461926,"R",42,"R",0,"R",42,"R",25,"R",37,"R",0,"R",0,"R",5,"R",25,"Z",0,"R",25,"R",23,"R",8,"Z",0,"R",8,"R",6,"R",9,"Z",0,"R",9,"R",8
461944,"R",20,"R",0,"R",20,"R",2,"R",14,"R",0,"R",0,"R",6,"R",16,"Z",0,"R",16,"R",12,"R",2,"Z",0,"R",2,"R",1,"R",2,"Z",0,"R",2,"R",1
461962,"R",293,"R",0,"R",293,"R",161,"R",239,"R",0,"R",0,"R",54,"R",171,"Z",0,"R",171,"R",165,"R",6,"Z",0,"R",6,"R",2,"R",116,"Z",0,"R",116,"R",72
