UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
101709, 3,"R",2465,"R",348,"R",1955,"R",162
101709,11,"R",11,"R",4,"R",4,"R",3
101709,12,"R",484,"R",130,"R",339,"R",15
101736, 1,"R",4416,"R",834,"R",1676,"R",1906
101736, 2,"R",4416,"R",834,"R",1676,"R",1906
101736, 3,"R",3017,"R",585,"R",1395,"R",1037
101736,11,"R",1399,"R",249,"R",281,"R",869
101879, 1,"R",10003,"R",4479,"R",4752,"R",772
101879, 2,"R",7149,"R",1988,"R",4447,"R",714
101879, 3,"R",5972,"R",1040,"R",4403,"R",529
101879,11,"R",1177,"R",948,"R",44,"R",185
101879,12,"R",2854,"R",2491,"R",305,"R",58
101897, 1,"R",3469,"R",1318,"R",1635,"R",516
101897, 2,"R",3469,"R",1318,"R",1635,"R",516
101897, 3,"R",2123,"R",781,"R",1070,"R",272
101897,11,"R",1346,"R",537,"R",565,"R",244
101912, 1,"R",1970,"R",147,"R",84,"R",1739
101912, 2,"R",1870,"R",88,"R",50,"R",1732
101912, 3,"R",1840,"R",88,"R",20,"R",1732
101912,11,"R",30,"Z",0,"R",30,"R",0
101912,12,"R",100,"R",59,"R",34,"R",7
101994, 1,"R",441,"R",6,"R",228,"R",207
101994, 2,"R",441,"R",6,"R",228,"R",207
101994, 3,"R",340,"R",4,"R",199,"R",137
101994,11,"R",101,"R",2,"R",29,"R",70
102030, 1,"R",3549,"R",689,"R",1486,"R",1374
102030, 2,"R",3549,"R",689,"R",1486,"R",1374
102030, 3,"R",2540,"R",322,"R",1358,"R",860
102030,11,"R",1009,"R",367,"R",128,"R",514
102049, 1,"R",6160,"R",399,"R",4001,"R",1760
102049, 2,"R",3684,"R",83,"R",2353,"R",1248
102049, 3,"R",3667,"R",71,"R",2353,"R",1243
102049,11,"R",17,"R",12,"R",0,"R",5
102049,12,"R",2476,"R",316,"R",1648,"R",512
102067, 1,"R",5769,"R",3419,"R",1683,"R",667
102067, 2,"R",5769,"R",3419,"R",1683,"R",667
102067, 3,"R",4192,"R",2172,"R",1542,"R",478
102067,11,"R",1577,"R",1247,"R",141,"R",189
102076, 1,"R",4006,"R",2627,"R",1095,"R",284
102076, 2,"R",4006,"R",2627,"R",1095,"R",284
102076, 3,"R",1967,"R",876,"R",916,"R",175
102076,11,"R",2039,"R",1751,"R",179,"R",109
102094, 1,"R",16311,"R",4926,"R",5241,"R",6144
102094, 2,"R",10147,"R",735,"R",4732,"R",4680
102094, 3,"R",9694,"R",521,"R",4656,"R",4517
102094,11,"R",453,"R",214,"R",76,"R",163
102094,12,"R",6164,"R",4191,"R",509,"R",1464
102234, 1,"R",1322,"R",189,"R",1062,"R",71
102234, 2,"R",1133,"R",61,"R",1025,"R",47
102234, 3,"R",1130,"R",58,"R",1025,"R",47
102234,11,"R",3,"R",3,"R",0,"R",0
102234,12,"R",189,"R",128,"R",37,"R",24
102270, 1,"R",829,"R",51,"R",535,"R",243
102270, 2,"R",829,"R",51,"R",535,"R",243
102270, 3,"R",796,"R",51,"R",535,"R",210
102270,11,"R",33,"R",0,"R",0,"R",33
102298, 1,"R",1398,"R",246,"R",990,"R",162
102298, 2,"R",1380,"R",228,"R",990,"R",162
102298, 3,"R",1380,"R",228,"R",990,"R",162
102298,12,"R",18,"R",18,"Z",0,"R",0
102313, 1,"R",2294,"R",1027,"R",1048,"R",219
102313, 2,"R",2294,"R",1027,"R",1048,"R",219
102313, 3,"R",2071,"R",859,"R",1023,"R",189
102313,11,"R",223,"R",168,"R",25,"R",30
102368, 1,"R",20866,"R",11886,"R",4721,"R",4259
102368, 2,"R",15353,"R",7850,"R",4093,"R",3410
102368, 3,"R",14706,"R",7256,"R",4072,"R",3378
102368,11,"R",647,"R",594,"R",21,"R",32
102368,12,"R",5513,"R",4036,"R",628,"R",849
102377, 1,"R",3058,"R",2,"R",0,"R",3056
102377, 2,"R",2537,"A",,"A",,"R",2537
102377, 3,"R",2537,"A",,"A",,"R",2537
102377,12,"R",521,"R",2,"R",0,"R",519
102395, 1,"R",446,"R",446,"R",0,"R",0
102395, 2,"R",171,"R",171,"R",0,"R",0
102395, 3,"R",154,"R",154,"R",0,"R",0
102395,11,"R",17,"R",17,"R",0,"R",0
102395,12,"R",275,"R",275,"R",0,"R",0
102429, 1,"R",4595,"R",1570,"R",1660,"R",1365
102429, 2,"R",4595,"R",1570,"R",1660,"R",1365
102429, 3,"R",3133,"R",937,"R",1259,"R",937
102429,11,"R",1462,"R",633,"R",401,"R",428
102553, 1,"R",19093,"R",13228,"R",3755,"R",2110
102553, 2,"R",18227,"R",12584,"R",3607,"R",2036
102553, 3,"R",9945,"R",6633,"R",3076,"R",236
102553,11,"R",8282,"R",5951,"R",531,"R",1800
102553,12,"R",866,"R",644,"R",148,"R",74
102580, 1,"R",43,"R",0,"R",5,"R",38
102580, 2,"R",43,"R",0,"R",5,"R",38
102580, 3,"R",38,"R",0,"R",5,"R",33
102580,11,"R",5,"R",0,"R",0,"R",5
102614, 1,"R",10725,"R",6113,"R",2831,"R",1781
102614, 2,"R",9527,"R",5457,"R",2416,"R",1654
102614, 3,"R",5288,"R",2952,"R",2116,"R",220
102614,11,"R",4239,"R",2505,"R",300,"R",1434
102614,12,"R",1198,"R",656,"R",415,"R",127
102632, 1,"R",3470,"R",2053,"R",638,"R",779
102632, 2,"R",3100,"R",1838,"R",501,"R",761
102632, 3,"R",1325,"R",843,"R",370,"R",112
102632,11,"R",1775,"R",995,"R",131,"R",649
102632,12,"R",370,"R",215,"R",137,"R",18
102669, 1,"R",591,"R",484,"R",101,"R",6
102669, 2,"R",391,"R",301,"R",90,"R",0
102669, 3,"R",364,"R",274,"R",90,"R",0
102669,11,"R",27,"R",27,"R",0,"R",0
102669,12,"R",200,"R",183,"R",11,"R",6
102711, 1,"R",801,"A",,"A",,"R",801
102711, 2,"R",801,"A",,"A",,"R",801
102711, 3,"R",801,"A",,"A",,"R",801
102845, 1,"R",4002,"R",881,"R",2861,"R",260
102845, 2,"R",4002,"R",881,"R",2861,"R",260
102845, 3,"R",4002,"R",881,"R",2861,"R",260
103501, 1,"R",553,"A",,"A",,"R",553
103501, 2,"R",553,"A",,"A",,"R",553
103501, 3,"R",553,"A",,"A",,"R",553
103741, 1,"R",208,"A",,"A",,"R",208
103741, 2,"R",208,"A",,"A",,"R",208
103741, 3,"C",208,"A",,"A",,"C",208
103893, 1,"R",1734,"R",192,"R",584,"R",958
103893, 2,"R",1734,"R",192,"R",584,"R",958
103893, 3,"R",1734,"R",192,"R",584,"R",958
103909, 1,"R",875,"R",0,"R",328,"R",547
103909, 2,"R",875,"R",0,"R",328,"R",547
103909, 3,"R",875,"R",0,"R",328,"R",547
103927, 1,"R",636,"R",0,"R",268,"R",368
103927, 2,"R",636,"R",0,"R",268,"R",368
103927, 3,"R",636,"R",0,"R",268,"R",368
103954, 1,"R",83,"A",,"A",,"R",83
103954, 2,"R",83,"A",,"A",,"R",83
103954, 3,"C",83,"A",,"A",,"C",83
103963, 1,"R",655,"A",,"A",,"R",655
103963, 2,"R",655,"A",,"A",,"R",655
103963, 3,"C",655,"A",,"A",,"C",655
104090, 1,"R",2008,"R",651,"R",1357,"R",0
104090, 2,"R",1954,"R",597,"R",1357,"R",0
104090, 3,"R",1954,"R",597,"R",1357,"R",0
104090,12,"R",54,"R",54,"Z",0,"R",0
104151, 1,"R",82869,"R",7411,"R",66538,"R",8920
104151, 2,"R",68985,"R",6339,"R",60032,"R",2614
104151, 3,"R",67904,"R",5654,"R",59770,"R",2480
104151,11,"R",1081,"R",685,"R",262,"R",134
104151,12,"R",13884,"R",1072,"R",6506,"R",6306
104160, 1,"R",9712,"R",3971,"R",3912,"R",1829
104160, 2,"R",9712,"R",3971,"R",3912,"R",1829
104160, 3,"R",8375,"R",3404,"R",3527,"R",1444
104160,11,"R",1337,"R",567,"R",385,"R",385
104179, 1,"R",52329,"R",10431,"R",29028,"R",12870
104179, 2,"R",40361,"R",6665,"R",26650,"R",7046
104179, 3,"R",38590,"R",6120,"R",26528,"R",5942
104179,11,"R",1771,"R",545,"R",122,"R",1104
104179,12,"R",11968,"R",3766,"R",2378,"R",5824
104346, 1,"R",6317,"R",1487,"R",3512,"R",1318
104346, 2,"R",6317,"R",1487,"R",3512,"R",1318
104346, 3,"R",6254,"R",1487,"R",3512,"R",1255
104346,11,"R",63,"R",0,"R",0,"R",63
104391, 1,"R",87,"A",,"A",,"R",87
104391, 2,"R",87,"A",,"A",,"R",87
104391, 3,"C",87,"A",,"A",,"C",87
104425, 1,"R",9841,"R",2578,"R",1531,"R",5732
104425, 2,"R",9841,"R",2578,"R",1531,"R",5732
104425, 3,"R",9158,"R",2340,"R",1345,"R",5473
104425,11,"R",683,"R",238,"R",186,"R",259
104443, 1,"R",79,"A",,"A",,"R",79
104443, 2,"R",79,"A",,"A",,"R",79
104443, 3,"C",79,"A",,"A",,"C",79
104568, 1,"R",601,"R",0,"R",601,"R",0
104568, 2,"R",601,"R",0,"R",601,"R",0
104568, 3,"C",601,"C",0,"C",601,"C",0
104577, 1,"R",6080,"R",830,"R",1619,"R",3631
104577, 2,"R",6080,"R",830,"R",1619,"R",3631
104577, 3,"R",4117,"R",754,"R",1449,"R",1914
104577,11,"R",1963,"R",76,"R",170,"R",1717
104586, 1,"R",3207,"R",107,"R",1394,"R",1706
104586, 2,"R",3154,"R",105,"R",1377,"R",1672
104586, 3,"R",3138,"R",105,"R",1377,"R",1656
104586,11,"R",16,"R",0,"R",0,"R",16
104586,12,"R",53,"R",2,"R",17,"R",34
104665, 1,"R",15,"R",2,"Z",0,"R",13
104665,12,"R",15,"R",2,"Z",0,"R",13
104708, 1,"R",20920,"R",13970,"R",3547,"R",3403
104708, 2,"R",20920,"R",13970,"R",3547,"R",3403
104708, 3,"R",14483,"R",10764,"R",2996,"R",723
104708,11,"R",6437,"R",3206,"R",551,"R",2680
104717, 1,"R",158889,"R",134849,"R",19738,"R",4302
104717, 2,"R",96966,"R",77157,"R",16232,"R",3577
104717, 3,"R",92188,"R",72905,"R",16145,"R",3138
104717,11,"R",4778,"R",4252,"R",87,"R",439
104717,12,"R",61923,"R",57692,"R",3506,"R",725
105145, 1,"R",7371,"R",4191,"R",1698,"R",1482
105145, 2,"R",7371,"R",4191,"R",1698,"R",1482
105145, 3,"R",5321,"R",2957,"R",1482,"R",882
105145,11,"R",2050,"R",1234,"R",216,"R",600
105154, 1,"R",25089,"R",19749,"R",2428,"R",2912
105154, 2,"R",25089,"R",19749,"R",2428,"R",2912
105154, 3,"R",17297,"R",14447,"R",1995,"R",855
