UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
106315,4,"12.0401","A",.,"A",.,"R",1500,1,"R",10,"R",40,"R",900,"R",30,"R",18690,"R",19805,"R",19805,"R",19455,"R",1250,"R",2000,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11530,"R",11790,"R",11790,"R",12810,"R",6830,"R",7020,"R",7020,"R",7100,"R",3430,"R",3710,"R",3710,"R",3850,"12.0410","R",7782,"R",2000,"R",600,1,"R",6,"12.0409","R",7782,"R",2000,"R",600,1,"R",6,"12.0413","R",7782,"R",2000,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106324,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",14400,"R",14400,"R",14400,"R",14400,"R",1275,"R",1275,"R",1275,"R",1275,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7775,"R",7775,"R",7775,"R",7775,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"12.0410","R",5850,"R",800,"R",600,1,"R",6,"12.0413","R",5850,"R",450,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106351,2,"12.0402","A",.,"A",.,"R",1500,1,"R",10,"R",40,"R",900,"R",30,"R",19050,"R",19453,"R",19453,"R",19050,"R",2000,"R",2000,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11530,"R",11530,"R",11530,"R",11530,"R",6990,"R",6990,"R",6990,"R",7010,"R",5190,"R",5190,"R",5190,"R",5190,"12.0413","R",7620,"R",2000,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106360,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",12980,"R",14330,"R",14250,"R",15750,"R",2400,"R",1815,"R",2170,"R",2170,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10000,"R",10000,"R",11275,"R",11438,"R",3750,"R",3750,"R",5550,"R",5625,"R",2500,"R",2500,"R",5550,"R",5625,"12.0413","R",3510,"R",177,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106494,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",12980,"R",14330,"R",14250,"R",15750,"R",2400,"R",1815,"R",2170,"R",2170,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10000,"R",10000,"R",11275,"R",11438,"R",3750,"R",3750,"R",5550,"R",5625,"R",2500,"R",2500,"R",5550,"R",5625,"12.0413","R",3510,"R",177,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106892,2,"51.0801","A",.,"A",.,"R",24,2,"R",10,"R",40,"R",24,"R",30,"R",10700,"R",10700,"R",12000,"R",12000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6100,"R",7320,"R",7320,"R",7320,"R",1290,"R",1540,"R",1540,"R",1540,"R",1290,"R",1540,"R",1540,"R",1540,"51.0601","R",10000,"A",.,"R",19,2,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106908,3,"12.0499","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",15500,"R",15500,"R",15900,"R",17070,"R",3550,"R",3925,"R",3550,"R",3092,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16157,"R",18522,"R",19167,"R",16426,"R",10653,"R",10363,"R",10363,"R",9363,"R",5375,"R",6837,"R",5719,"R",5827,"12.0401","R",17050,"R",4400,"R",1500,1,"R",13,"12.0402","R",15500,"R",2800,"R",1500,1,"R",13,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107099,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",15000,"R",15000,"R",15000,"R",15000,"R",1495,"R",1495,"R",1500,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10725,"R",10725,"R",10725,"R",10725,"R",8438,"R",8438,"R",8438,"R",8438,"R",8438,"R",8438,"R",8438,"R",8438,"12.0410","R",6000,"R",1250,"R",600,1,"R",5,"12.0409","R",6000,"R",1250,"R",600,1,"R",5,"12.0413","R",3600,"R",190,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107123,1,"51.3801","R",12000,"R",1300,"R",79,2,"R",17,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107220,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",15944,"R",15945,"R",16695,"R",18195,"R",1251,"R",1215,"R",1251,"R",1251,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7794,"R",7794,"R",8600,"R",8600,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"12.0409","R",6795,"R",2005,"R",600,1,"R",4,"12.0410","R",6795,"R",2005,"R",600,1,"R",4,"12.0413","R",5700,"R",300,"R",600,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
