UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
449959,3,"12.0401","A",.,"A",.,"R",1300,1,"R",10,"R",38,"R",900,"R",26,"R",14300,"R",15600,"R",16250,"R",16900,"R",4005,"R",3800,"R",3800,"R",3800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11343,"R",13728,"R",12255,"R",13747,"R",7610,"R",6242,"R",4845,"R",8180,"R",4066,"R",4256,"R",4988,"R",6327,"12.0402","R",11700,"R",2500,"R",900,1,"R",7,"12.0401","R",15600,"R",2500,"R",1200,1,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
449968,5,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",18925,"R",19939,"R",19939,"R",19939,"R",3000,"R",2510,"R",2510,"R",2860,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",23000,"R",16859,"R",20102,"R",23000,"R",9545,"R",7199,"R",8223,"R",6233,"R",7567,"R",5463,"R",5509,"R",5405,"12.0401","R",23794,"R",6155,"R",1845,1,"R",14,"12.0402","R",18389,"R",2616,"R",1500,1,"R",11,"12.0406","R",4400,"R",3016,"R",245,1,"R",2,"12.0401","R",22939,"R",3512,"R",1800,1,"R",13,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
449977,3,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",17675,"R",17895,"R",17895,"R",17895,"R",2600,"R",2531,"R",2776,"R",3044,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14394,"R",14781,"R",16437,"R",15201,"R",7482,"R",7375,"R",7805,"R",7579,"R",4741,"R",4246,"R",5192,"R",4784,"12.0401","R",19088,"R",3786,"R",1600,1,"R",12,"12.0413","R",5100,"R",734,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
449986,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",21320,"R",21726,"R",23001,"R",23001,"R",2280,"R",1875,"R",1960,"R",2321,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18400,"R",20539,"R",15238,"R",23000,"R",8096,"R",9879,"R",13800,"R",11765,"R",5497,"R",3531,"R",5221,"R",3853,"12.0402","R",18604,"R",2301,"R",1500,1,"R",11,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
449995,2,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",16550,"R",18000,"R",18000,"R",18750,"R",2995,"R",1945,"R",2140,"R",2180,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",20436,"R",21500,"R",21500,"R",21500,"R",10245,"R",8557,"R",8880,"R",8385,"R",4709,"R",3666,"R",4150,"R",3419,"12.0401","R",20000,"R",3680,"R",1600,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450021,6,"51.0801","A",.,"A",.,"R",53,2,"R",9,"R",36,"R",36,"R",36,"R",15881,"R",15881,"R",15881,"R",18381,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8226,"R",8415,"R",8559,"R",8676,"R",6219,"R",6282,"R",8559,"R",8676,"R",6219,"R",6282,"R",4284,"R",4347,"12.0401","R",24805,"R",0,"R",82,2,"R",12,"47.0201","R",16328,"R",0,"R",900,1,"R",9,"51.0713","R",21332,"R",0,"R",65,2,"R",12,"12.0409","R",12502,"R",0,"R",780,1,"R",9,"51.3501","R",10748,"R",0,"R",600,1,"R",6,
450119,4,"51.0801","A",.,"A",.,"R",53,2,"R",9,"R",36,"R",36,"R",36,"R",15881,"R",15881,"R",15881,"R",18381,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8226,"R",8415,"R",8559,"R",8676,"R",5850,"R",8415,"R",8559,"R",8676,"R",5850,"R",8415,"R",4284,"R",4347,"51.0713","R",21332,"R",0,"R",65,2,"R",12,"51.0601","R",19868,"R",0,"R",59,2,"R",11,"51.3501","R",10748,"R",0,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450128,6,"51.0801","A",.,"A",.,"R",53,2,"R",9,"R",36,"R",36,"R",36,"R",15881,"R",15881,"R",15881,"R",18381,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8226,"R",8415,"R",8559,"R",8676,"R",6354,"R",8415,"R",8559,"R",8676,"R",6354,"R",4212,"R",4284,"R",4347,"12.0401","R",24805,"R",0,"R",82,2,"R",12,"12.0409","R",12502,"R",0,"R",780,1,"R",6,"51.0713","R",21332,"R",0,"R",65,2,"R",12,"51.3501","R",10748,"R",0,"R",600,1,"R",6,"51.0716","R",11151,"R",0,"R",36,2,"R",9,
450395,6,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",46,"R",900,"R",27,"R",17950,"R",17950,"R",18750,"R",18750,"R",1900,"R",1900,"R",2100,"R",2100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14203,"R",14203,"R",17089,"R",17089,"R",9154,"R",9154,"R",7429,"R",7429,"R",8407,"R",8407,"R",6889,"R",6889,"12.0409","R",9950,"R",1400,"R",600,1,"R",6,"12.0412","R",11750,"R",1700,"R",750,1,"R",8,"12.0410","R",2795,"R",650,"R",300,1,"R",6,"12.0407","R",13550,"R",2000,"R",1200,1,"R",10,"12.0412","R",21450,"R",2400,"R",1800,1,"R",14,
450401,9,"12.0408","A",.,"A",.,"R",600,1,"R",5,"R",21,"R",750,"R",30,"R",11832,"R",11832,"R",11832,"R",11819,"R",315,"R",315,"R",315,"R",315,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5439,"R",5628,"R",5271,"R",5670,"R",3796,"R",4195,"R",4174,"R",4326,"R",3796,"R",4195,"R",4174,"R",4111,"12.0410","R",25105,"R",294,"R",50,2,"R",12,"51.3501","R",15500,"R",295,"R",30,2,"R",7,"50.0408","R",27718,"R",504,"R",58,2,"R",14,"12.0402","R",24398,"R",356,"R",50,2,"R",12,"12.0410","R",10372,"R",197,"R",600,1,"R",5,
450599,1,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",18750,"R",18750,"R",18750,"R",18750,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7944,"R",8181,"R",8493,"R",9310,"R",7041,"R",7547,"R",7837,"R",7934,"R",7041,"R",7547,"R",7837,"R",7934,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450605,2,"12.0401","A",.,"A",.,"R",1250,1,"R",9,"R",36,"R",900,"R",26,"R",17000,"R",17000,"R",17000,"R",17000,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6651,"R",6849,"R",7110,"R",7794,"R",5895,"R",6318,"R",6561,"R",6642,"R",5895,"R",6318,"R",6561,"R",6642,"12.0413","R",7500,"R",499,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450614,2,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",19260,"R",19260,"R",19260,"R",19260,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7385,"R",7547,"R",7805,"R",8589,"R",6547,"R",6966,"R",7203,"R",7310,"R",6547,"R",6966,"R",7203,"R",7310,"12.0413","R",10000,"R",499,"R",800,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450632,1,"51.3501","R",12500,"R",200,"R",720,1,"R",10,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450641,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",18495,"R",18495,"R",18495,"R",18495,"R",2300,"R",2300,"R",2300,"R",2300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4655,"R",4655,"R",4655,"R",4655,"R",1881,"R",1881,"R",1881,"R",1881,"R",1000,"R",1000,"R",1000,"R",1000,"12.0402","R",10539,"R",1300,"R",900,1,"R",6,"12.0409","R",12750,"R",3000,"R",750,1,"R",5,"12.0409","R",10200,"R",1600,"R",600,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450650,6,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",47,"R",900,"R",26,"R",18325,"R",18700,"R",19100,"R",20100,"R",2100,"R",2100,"R",2100,"R",2300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12396,"R",12396,"R",14077,"R",14077,"R",7250,"R",7250,"R",5417,"R",5417,"R",6075,"R",6075,"R",4630,"R",4630,"12.0409","R",8000,"R",1800,"R",600,1,"R",4,"12.0410","R",2750,"R",1300,"R",300,1,"R",3,"51.3501","R",11200,"R",1200,"R",750,1,"R",5,"12.0402","R",12800,"R",2400,"R",1000,1,"R",12,"51.3305","R",12500,"R",1500,"R",1000,1,"R",10,
450696,8,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",36,"R",36,"R",14322,"R",18163,"R",18163,"R",18586,"R",620,"R",695,"R",695,"R",490,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13779,"R",13779,"R",16200,"R",17253,"R",4248,"R",4248,"R",4950,"R",4950,"R",4248,"R",4248,"R",4950,"R",4950,"01.8301","R",34607,"R",1100,"R",64,2,"R",18,"51.0601","R",20171,"R",635,"R",36,2,"R",8,"51.0805","R",18622,"R",535,"R",36,2,"R",8,"51.0714","R",18910,"R",859,"R",36,2,"R",8,"51.3501","R",13973,"R",805,"R",35,2,"R",8,
450702,5,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",36,"R",36,"R",14322,"R",18163,"R",18163,"R",18586,"R",620,"R",695,"R",695,"R",490,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13779,"R",13779,"R",16200,"R",17253,"R",4248,"R",4248,"R",4950,"R",4950,"R",4248,"R",4248,"R",4950,"R",4950,"01.8301","R",34607,"R",1100,"R",64,2,"R",21,"51.0601","R",20171,"R",635,"R",36,2,"R",8,"51.0805","R",18622,"R",535,"R",36,2,"R",8,"51.0909","R",36277,"R",1022,"R",59,2,"R",16,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450711,2,"12.0402","A",.,"A",.,"R",1000,1,"R",9,"R",34,"R",900,"R",30,"R",13695,"R",15375,"R",11950,"R",11950,"R",1149,"R",1519,"R",2019,"R",1919,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9350,"R",9350,"R",9350,"R",9350,"R",2040,"R",2040,"R",2040,"R",2040,"R",1020,"R",1020,"R",1020,"R",1020,"12.0413","R",9000,"R",299,"R",750,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450720,3,"12.0409","A",.,"A",.,"R",600,1,"R",8,"R",30,"R",900,"R",45,"A",.,"R",11125,"R",11125,"R",11150,"A",.,"R",1710,"R",1701,"R",1596,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",21420,"R",21420,"R",20340,"A",.,"R",11325,"R",11325,"R",10343,"A",.,"R",6428,"R",6428,"R",5753,"12.0401","R",19550,"R",3437,"R",1600,1,"R",11,"12.0410","R",7400,"R",2117,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450951,3,"12.0503","A",.,"A",.,"R",55,2,"R",8,"R",30,"R",55,"R",30,"R",25990,"R",25990,"R",25990,"R",25990,"R",1805,"R",1805,"R",1805,"R",1805,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9030,"R",9150,"R",9210,"R",10305,"R",6390,"R",6623,"R",6525,"R",6638,"R",6390,"R",6188,"R",6233,"R",6225,"12.0503","R",8586,"R",1460,"R",18,2,"R",3,"12.0503","R",9300,"R",1325,"R",19,2,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
450960,11,"51.0801","A",.,"A",.,"R",940,1,"R",12,"R",49,"R",900,"R",26,"R",15079,"R",15079,"R",15449,"R",15449,"R",621,"R",621,"R",546,"R",546,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16293,"R",16293,"R",15582,"R",16293,"R",5782,"R",5782,"R",5537,"R",5782,"R",5941,"R",5941,"R",5537,"R",5941,"51.0910","R",33695,"R",1300,"R",1776,1,"R",16,"51.3902","R",1900,"R",375,"R",160,1,"R",2,"51.1009","R",1721,"R",274,"R",80,1,"R",2,"51.0713","R",14925,"R",1070,"R",900,1,"R",11,"51.3999","R",34176,"R",829,"R",1840,1,"R",14,
450988,6,"12.0410","A",.,"A",.,"R",600,1,"R",6,"R",25,"R",900,"R",38,"R",3550,"R",3550,"R",3600,"R",3600,"R",600,"R",600,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9569,"R",9569,"R",9569,"R",9569,"R",2950,"R",2950,"R",2950,"R",2950,"R",3031,"R",3031,"R",3031,"R",3031,"12.0409","R",3600,"R",600,"R",600,1,"R",6,"12.0401","R",9600,"R",1000,"R",1600,1,"R",16,"12.0402","R",9000,"R",1000,"R",1500,1,"R",15,"51.3501","R",3750,"R",600,"R",600,1,"R",6,"51.3501","R",6250,"R",600,"R",1000,1,"R",12,
451042,3,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",26,"R",16550,"R",16550,"R",16550,"R",16550,"R",5150,"R",5150,"R",5150,"R",5150,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12528,"R",12528,"R",12528,"R",12528,"R",7068,"R",5868,"R",5868,"R",5868,"R",4560,"R",4560,"R",4560,"R",4560,"12.0409","R",7390,"R",2617,"R",600,1,"R",6,"12.0402","R",7920,"R",3200,"R",1000,1,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451051,2,"12.0414","R",10100,"R",800,"R",600,1,"R",8,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"51.3501","R",10195,"R",705,"R",600,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451097,6,"12.0499","A",.,"A",.,"R",260,1,"R",4,"R",16,"R",900,"R",52,"R",2995,"R",2995,"R",2995,"R",2995,"R",400,"R",400,"R",400,"R",400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",1252,"R",1252,"R",1252,"R",1252,"R",444,"R",444,"R",444,"R",444,"R",444,"R",444,"R",444,"R",444,"12.0402","R",12900,"R",1300,"R",900,1,"R",12,"51.3501","R",8900,"R",400,"R",600,1,"R",6,"12.0410","R",1095,"R",400,"R",220,1,"R",4,"12.0408","R",12900,"R",1300,"R",900,1,"R",4,"12.0499","R",5900,"R",1100,"R",600,1,"R",6,
451103,9,"51.3801","A",.,"A",.,"R",66,2,"R",19,"R",75,"R",36,"R",30,"R",35264,"R",36366,"R",36366,"R",36366,"R",8445,"R",8380,"R",7823,"R",7823,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",19894,"R",19894,"R",23231,"R",23250,"R",3975,"R",3975,"R",3975,"R",4519,"R",3263,"R",3263,"R",3075,"R",3113,"51.3801","R",27600,"R",11448,"R",46,2,"R",20,"51.3801","R",55000,"R",1679,"R",120,2,"R",36,"51.3801","R",42880,"R",7718,"R",64,2,"R",20,"51.3801","R",18000,"R",0,"R",120,2,"R",16,"51.3801","R",42000,"R",0,"R",60,2,"R",36,
451121,1,"12.0401","A",.,"A",.,"R",1200,1,"R",9,"R",34,"R",900,"R",26,"R",15400,"R",15400,"R",15400,"R",15400,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",17094,"R",13830,"R",16992,"R",15122,"R",7905,"R",5925,"R",9350,"R",6511,"R",8143,"R",3315,"R",2669,"R",3239,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451149,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",16605,"R",16700,"R",16700,"R",16700,"R",3000,"R",3000,"R",3000,"R",3000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",22075,"R",22075,"R",24738,"R",24738,"R",10325,"R",10325,"R",8375,"R",8375,"R",8075,"R",8075,"R",6625,"R",6625,"12.0409","R",9900,"R",1850,"R",600,1,"R",7,"12.0402","R",15600,"R",3000,"R",1200,1,"R",12,"51.3501","R",9400,"R",2150,"R",600,1,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451158,4,"12.0409","A",.,"A",.,"R",600,1,"R",7,"R",27,"R",900,"R",40,"R",8900,"R",8900,"R",9900,"R",9900,"R",1850,"R",1850,"R",1850,"R",1850,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11104,"R",11104,"R",11414,"R",11414,"R",4523,"R",4523,"R",4671,"R",4671,"R",3773,"R",3773,"R",4374,"R",4374,"12.0401","R",16700,"R",3000,"R",1500,1,"R",13,"51.3501","R",10900,"R",2150,"R",900,1,"R",8,"51.3501","R",9400,"R",2150,"R",600,1,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451167,5,"12.0407","A",.,"A",.,"R",1200,1,"R",10,"R",40,"R",900,"R",30,"R",13665,"R",13665,"R",13665,"R",14676,"R",1584,"R",1584,"R",1584,"R",1943,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",17560,"R",16930,"R",14280,"R",8180,"R",6000,"R",6070,"R",6730,"R",8930,"R",23560,"R",23000,"R",21010,"R",9160,"12.0401","R",14676,"R",1943,"R",1200,1,"R",10,"12.0408","R",2250,"R",1061,"R",310,1,"R",3,"12.0410","R",2150,"R",974,"R",240,1,"R",3,"12.0499","R",6834,"R",1676,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451194,1,"51.3501","A",.,"A",.,"R",775,1,"R",6,"R",23,"R",900,"R",26,"R",9500,"R",9500,"R",9500,"R",8750,"R",1250,"R",1250,"R",1250,"R",1250,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6193,"R",6193,"R",6193,"R",6193,"R",857,"R",857,"R",857,"R",857,"R",857,"R",857,"R",857,"R",857,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451228,3,"11.0901","A",.,"A",.,"R",36,2,"R",11,"R",42,"R",36,"R",42,"R",19351,"R",19351,"R",19351,"R",21543,"R",3454,"R",3454,"R",3454,"R",3454,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13052,"R",13052,"R",17084,"R",17084,"R",4694,"R",4599,"R",6762,"R",7077,"R",4589,"R",4589,"R",7329,"R",7329,"11.1003","R",21213,"R",3592,"R",36,2,"R",11,"11.1001","R",20648,"R",4157,"R",36,2,"R",11,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451237,1,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",29,"R",15750,"R",15750,"R",16500,"R",16500,"R",2775,"R",2775,"R",2775,"R",2775,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9964,"R",9964,"R",10364,"R",10364,"R",4912,"R",4912,"R",5100,"R",5100,"R",4912,"R",5041,"R",5100,"R",5100,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451255,1,"12.0401","A",.,"A",.,"R",1000,1,"R",8,"R",31,"R",900,"R",28,"R",13250,"R",15302,"R",14250,"R",14750,"R",1052,"R",1052,"R",1052,"R",1189,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7874,"R",4766,"R",8269,"R",8269,"R",3627,"R",4658,"R",4658,"R",4658,"R",4433,"R",5317,"R",9052,"R",9052,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451264,5,"51.0801","A",.,"A",.,"R",31,2,"R",11,"R",45,"R",24,"R",38,"R",15200,"R",15200,"R",15925,"R",17750,"R",750,"R",750,"R",750,"R",200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15784,"R",15784,"R",20970,"R",20970,"R",5895,"R",5895,"R",5771,"R",5771,"R",3431,"R",3431,"R",4635,"R",4635,"51.0714","R",16250,"R",700,"R",28,2,"R",9,"52.0302","R",16550,"R",400,"R",28,2,"R",9,"11.1001","R",16550,"R",400,"R",28,2,"R",9,"52.0499","R",7645,"R",350,"R",14,2,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
451282,5,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",28,"R",19500,"R",19500,"R",19137,"R",19959,"R",2000,"R",2000,"R",2363,"R",2140,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15299,"R",12126,"R",12126,"R",11480,"R",9858,"R",9858,"R",9858,"R",8648,"R",6063,"R",6063,"R",6063,"R",8648,"12.0409","R",10441,"R",1659,"R",600,1,"R",5,"12.0410","R",10360,"R",1240,"R",600,1,"R",5,"12.0413","R",6001,"R",337,"R",600,1,"R",5,"12.0499","R",3363,"R",337,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
