UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
154110,"R",211,"R",11373793,"Z",0,"Z",0,"Z",0,"Z",0,"R",42,"R",2061020,"R",55,"R",4352369,"R",23,"R",1221640,"R",15,"R",819922,"R",7,"R",332899,"Z",0,"Z",0,"R",30,"R",1078928,"Z",0,"Z",0,"R",39,"R",1507015,"Z",0,"Z",0,"Z",0,"Z",0
154129,"R",80,"R",3821537,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",789569,"R",19,"R",1382328,"R",3,"R",131968,"R",6,"R",367871,"R",2,"R",110627,"Z",0,"Z",0,"R",11,"R",415964,"R",2,"R",59513,"R",13,"R",382420,"R",3,"R",136653,"R",1,"R",44624
154156,"R",220,"R",18553949,"R",8,"R",392947,"Z",0,"Z",0,"R",4,"R",254229,"R",61,"R",8703684,"R",25,"R",1743581,"R",18,"R",1475000,"R",11,"R",717916,"R",26,"R",1643234,"R",3,"R",155358,"Z",0,"Z",0,"R",64,"R",3468000,"Z",0,"Z",0,"Z",0,"Z",0
154174,"R",267,"R",17029329,"R",11,"R",881045,"Z",0,"Z",0,"R",18,"R",594042,"R",80,"R",8480015,"R",20,"R",947145,"R",16,"R",1061181,"R",12,"R",582107,"R",5,"R",238222,"R",3,"R",121576,"R",6,"R",231901,"R",91,"R",3707557,"R",5,"R",184538,"Z",0,"Z",0
154235,"R",236,"R",12030362,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",1258953,"R",36,"R",3394668,"R",26,"R",1249931,"R",25,"R",1241217,"R",50,"R",2287056,"R",3,"R",137992,"R",8,"R",325858,"Z",0,"Z",0,"R",49,"R",1709909,"R",10,"R",424778,"Z",0,"Z",0
154262,"R",11,"R",774573,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",330700,"R",3,"R",361416,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",82457,"Z",0,"Z",0,"Z",0,"Z",0
154350,"R",140,"R",8035338,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",204631,"R",25,"R",2692131,"R",6,"R",364552,"R",9,"R",511848,"R",41,"R",1958173,"R",3,"R",108300,"R",5,"R",195813,"R",9,"R",429926,"R",38,"R",1569964,"Z",0,"Z",0,"Z",0,"Z",0
154378,"R",151,"R",7710984,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",782007,"R",23,"R",2537682,"R",9,"R",498544,"R",9,"R",420494,"R",43,"R",1808919,"Z",0,"Z",0,"R",13,"R",539037,"R",4,"R",141944,"R",25,"R",951622,"Z",0,"Z",0,"R",1,"R",30735
154396,"R",104,"R",4368411,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",1088996,"R",6,"R",671805,"R",9,"R",467980,"R",5,"R",313054,"R",20,"R",726812,"Z",0,"Z",0,"R",13,"R",341556,"Z",0,"Z",0,"R",19,"R",545446,"R",6,"R",212762,"Z",0,"Z",0
154493,"R",249,"R",11880254,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",111180,"R",91,"R",5964196,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",586560,"Z",0,"Z",0,"R",132,"R",5218318,"Z",0,"Z",0,"Z",0,"Z",0
154518,"R",189,"R",7862489,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",1603408,"R",32,"R",2337239,"R",11,"R",407488,"R",3,"R",134368,"R",46,"R",1703097,"R",2,"R",96198,"R",20,"R",568478,"R",2,"R",70065,"R",25,"R",779783,"R",5,"R",162365,"Z",0,"Z",0
154527,"R",230,"R",10595278,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",122248,"R",29,"R",2569703,"R",16,"R",912210,"R",13,"R",683179,"R",62,"R",2771156,"R",3,"R",136715,"R",57,"R",1777484,"Z",0,"Z",0,"R",31,"R",1002404,"R",16,"R",620179,"Z",0,"Z",0
154536,"R",28,"R",1740314,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",316307,"R",4,"R",446236,"R",4,"R",242987,"R",1,"R",69228,"R",1,"R",65000,"Z",0,"Z",0,"R",1,"R",43500,"R",1,"R",51947,"R",9,"R",393995,"R",2,"R",111114,"Z",0,"Z",0
154572,"R",185,"R",10885038,"Z",0,"Z",0,"Z",0,"Z",0,"R",64,"R",3446260,"R",58,"R",4720136,"R",15,"R",672558,"R",13,"R",650157,"R",2,"R",93168,"Z",0,"Z",0,"R",9,"R",366949,"Z",0,"Z",0,"R",24,"R",935810,"Z",0,"Z",0,"Z",0,"Z",0
154590,"R",99,"R",4885954,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",848052,"R",10,"R",997775,"R",8,"R",398070,"R",7,"R",358946,"R",40,"R",1819531,"Z",0,"Z",0,"R",3,"R",97780,"R",7,"R",228548,"R",4,"R",137252,"Z",0,"Z",0,"Z",0,"Z",0
154642,"R",73,"R",3113354,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",537127,"R",15,"R",1088534,"R",4,"R",120994,"R",1,"R",79534,"R",21,"R",674350,"R",2,"R",69499,"R",6,"R",158184,"R",1,"R",25438,"R",8,"R",241155,"R",3,"R",118539,"Z",0,"Z",0
154688,"R",164,"R",7550324,"Z",0,"Z",0,"Z",0,"Z",0,"R",33,"R",1331429,"R",27,"R",2452099,"R",1,"R",39240,"R",5,"R",244809,"R",30,"R",1303414,"Z",0,"Z",0,"R",18,"R",528631,"Z",0,"Z",0,"R",47,"R",1538544,"R",3,"R",112158,"Z",0,"Z",0
154697,"R",223,"R",11120559,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",487416,"R",50,"R",3850682,"R",10,"R",486369,"R",12,"R",579765,"R",44,"R",2018142,"R",4,"R",192166,"R",27,"R",909173,"R",1,"R",33238,"R",56,"R",2166357,"R",7,"R",328820,"R",1,"R",68431
